Kurs
9760.00
9765.00
9765.00
9774.00
9772.00
9792.00
9810.00
9810.00
9811.00
9802.00
9811.00
9805.00
9807.00
9790.00
9806.00
9821.00
9856.00
9887.00
9886.00
9881.00
9918.00
9910.00
9927.00
9960.00
9931.00
9948.00
9939.00
9937.00
9929.00
9934.00
9940.00
9941.00
9945.00
9945.00
9960.00
9960.00
9970.00
9979.00
9980.00
10024.00
10036.00
10040.00
10059.00
10070.00
10068.00
10222.00
10262.00
10263.00
10265.00
10270.00
10277.00
10278.00
10288.00
10286.00
10287.00
10292.00
10297.00
10318.00
10392.00
10451.00
10504.00
10723.00
10795.00
10848.00
10841.00
10883.00
10950.00
10936.00
10924.00
10922.00
10983.00
11093.00
11125.00
11200.00
11188.00
11180.00
11438.00
11494.00
11395.00
11423.00
11451.00
11492.00
11278.00
11352.00
11435.00
11535.00
11569.00
11573.00
11532.00
11613.00
11593.00
11568.00
11535.00
11556.00
11532.00
11538.00
11540.00
11542.00
11475.00
11316.00
11351.00
11308.00
11353.00
11341.00
11258.00
11268.00
11142.00
11018.00
11076.00
11161.00
11234.00
11354.00
11389.00
11414.00
11389.00
11404.00
11486.00
11578.00
11644.00
11546.00
11561.00
11627.00
11609.00
11631.00
11717.00
11706.00
11722.00
11765.00
11813.00
11930.00
11977.00
11946.00
11830.00
11960.00
12018.00
11960.00
11956.00
11985.00
12005.00
12025.00
12081.00
12105.00
12104.00
12151.00
12191.00
12245.00
12246.00
12215.00
12260.00
12270.00
12189.00
12242.00
12226.00
12230.00
12262.00
12229.00
12263.00
12197.00
12047.00
12077.00
12117.00
12127.00
12110.00
12122.00
12149.00
12173.00
12177.00
12198.00
12267.00
12154.00
12226.00
12251.00
12248.00
12172.00
12159.00
12176.00
12166.00
12174.00
12115.00
12073.00
11886.00
11716.00
11826.00
11850.00
11772.00
11792.00
11728.00
11620.00
11669.00
11675.00
11634.00
11596.00
11647.00
11580.00
11554.00
11395.00
11449.00
11384.00
11432.00
11387.00
11421.00
11272.00
11282.00
11313.00
11407.00
11431.00
11384.00
11357.00
11408.00
11438.00
11404.00
11271.00
11303.00
11310.00
11310.00
11282.00
11309.00
11342.00
11450.00
11444.00
11434.00
11438.00
11418.00
11430.00
11486.00
11590.00
